name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,planner,reobserve,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,replan_event_obs_count,replan_events_seenvis_event_obs_count,vis_events_seen,time
experiment_num_0,60,5,6,10,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1590,71219,50492,348477,3774,1302,5428,979,18528,1502,719.4987695217133
experiment_num_1,60,5,6,5,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1560,90915,55755,344977,4829,1323,6225,1002,17746,1478,517.793995141983
experiment_num_2,60,5,6,0.1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1548,25733,0,348798,1351,802,0,0,18203,1455,907.4816975593567
experiment_num_3,60,5,6,0.01,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1569,25687,0,345457,1491,871,0,0,18838,1474,432.0329313278198
experiment_num_4,60,5,6,1,86400,2.777777777777778e-06,10,4,heuristic,encouraged,1593,5687,0,347868,918,589,0,0,45016,1494,422.04662322998047
experiment_num_5,60,5,6,1,43200,2.777777777777778e-06,10,4,heuristic,encouraged,1546,57869,30895,342239,5307,1342,5675,919,30197,1467,470.20083570480347
experiment_num_6,60,5,6,1,10800,2.777777777777778e-06,10,4,heuristic,encouraged,1514,57424,32045,341028,1634,890,1347,572,9646,1273,450.9611711502075
experiment_num_7,60,5,6,1,5400.0,2.777777777777778e-06,10,4,heuristic,encouraged,1527,58402,34731,346306,849,531,742,350,4833,819,4836.332793951035
experiment_num_8,60,5,6,1,21600,2.777777777777778e-06,10,1,heuristic,encouraged,1611,48144,29991,320948,2643,1086,2668,759,16507,1503,442.81648111343384
experiment_num_9,60,5,6,1,21600,2.777777777777778e-06,10,2,heuristic,encouraged,1518,52643,30623,330903,2644,1079,2612,741,17003,1412,444.9584095478058
experiment_num_10,60,5,6,1,21600,2.777777777777778e-06,10,8,heuristic,encouraged,1532,60944,31366,348760,3034,1220,2799,767,15880,1426,479.4454138278961
experiment_num_11,60,5,6,1,21600,2.777777777777778e-06,10,16,heuristic,encouraged,1579,62075,31992,343039,3294,1261,2795,820,19559,1470,2545.7576858997345
experiment_num_12,60,5,6,1,21600,0.0002777777777777778,10,4,heuristic,encouraged,155597,57069,29975,343264,301513,119571,158111,56243,1802826,146219,51934.254697322845
experiment_num_13,60,5,6,1,21600,2.777777777777778e-05,10,4,heuristic,encouraged,15556,58342,27211,345724,31027,12276,17103,5296,182427,14632,8263.033824443817
experiment_num_14,60,5,6,1,21600,2.7777777777777776e-07,10,4,heuristic,encouraged,155,57513,37312,345412,293,117,385,98,1535,147,4686.819397926331
experiment_num_15,60,5,6,1,21600,2.777777777777778e-08,10,4,heuristic,encouraged,16,58126,39087,345110,23,10,34,10,117,14,4828.705798864365
experiment_num_16,60,5,6,1,21600,2.777777777777778e-06,1,4,heuristic,encouraged,154,15109,8664,35604,778,144,844,132,1895,147,139.8510446548462
experiment_num_17,60,5,6,1,21600,2.777777777777778e-06,5,4,heuristic,encouraged,816,41235,22311,170800,2293,719,2284,481,9766,774,1615.3184740543365
