name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,planner,reobserve,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,replan_event_obs_count,replan_events_seen,vis_event_obs_count,vis_events_seen,time
experiment_test,60,5,6,1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1569,73047,52078,341637,3797,1291,5718,997,17643,1477,6986.654784917831
experiment_num_0,60,5,6,10,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1590,124629,79678,348477,6692,1428,9127,1115,18528,1502,10408.713917255402
experiment_num_1,60,5,6,5,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1560,124447,79804,344977,6573,1418,9302,1124,17746,1478,10345.145441770554
experiment_num_2,60,5,6,0.1,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1548,24744,20932,348798,1301,840,2008,637,18203,1455,2986.1489102840424
experiment_num_3,60,5,6,0.01,21600,2.777777777777778e-06,10,4,heuristic,encouraged,1569,4891,5278,345457,246,228,416,223,18838,1474,1073.580159187317
experiment_num_4,60,5,6,1,86400,2.777777777777778e-06,10,4,heuristic,encouraged,1593,73707,51957,347868,9392,1421,17875,1148,45016,1494,7099.642089128494
experiment_num_5,60,5,6,1,43200,2.777777777777778e-06,10,4,heuristic,encouraged,1546,73047,52059,342239,6666,1382,11555,1100,30197,1467,7013.8764045238495
experiment_num_6,60,5,6,1,10800,2.777777777777778e-06,10,4,heuristic,encouraged,1514,73147,54052,341028,2073,1001,2666,774,9646,1273,7164.121906995773
experiment_num_7,60,5,6,1,5400.0,2.777777777777778e-06,10,4,heuristic,encouraged,1527,73227,58644,346306,1057,583,1436,492,4833,819,7610.843560934067
experiment_num_8,60,5,6,1,21600,2.777777777777778e-06,10,1,heuristic,encouraged,1611,70117,51130,320948,3825,1291,5143,954,16507,1503,6194.991470575333
experiment_num_9,60,5,6,1,21600,2.777777777777778e-06,10,2,heuristic,encouraged,1518,71807,51732,330903,3652,1226,5357,933,17003,1412,6651.217515230179
experiment_num_10,60,5,6,1,21600,2.777777777777778e-06,10,8,heuristic,encouraged,1532,73336,52485,348760,3717,1269,5744,969,15880,1426,7139.650281190872
experiment_num_11,60,5,6,1,21600,2.777777777777778e-06,10,16,heuristic,encouraged,1579,74652,54062,343039,3918,1332,6012,989,19559,1470,7181.140736341476
experiment_num_12,60,5,6,1,21600,0.0002777777777777778,10,4,heuristic,encouraged,155597,72235,52267,343264,380595,129389,280068,66006,1802826,146219,59609.31038951874
experiment_num_13,60,5,6,1,21600,2.777777777777778e-05,10,4,heuristic,encouraged,15556,73899,47866,345724,39014,12943,30962,6090,182427,14632,11230.59650683403
experiment_num_14,60,5,6,1,21600,2.7777777777777776e-07,10,4,heuristic,encouraged,155,72820,64308,345412,368,130,797,126,1535,147,7791.46221280098
experiment_num_15,60,5,6,1,21600,2.777777777777778e-08,10,4,heuristic,encouraged,16,72972,67208,345110,28,10,46,10,117,14,7891.668452739716
experiment_num_16,60,5,6,1,21600,2.777777777777778e-06,1,4,heuristic,encouraged,154,23077,15441,35604,1265,146,1511,145,1895,147,225.40995717048645
experiment_num_17,60,5,6,1,21600,2.777777777777778e-06,2,4,heuristic,encouraged,816,57974,37956,170800,3293,763,4551,612,9766,774,2568.1001682281494
