name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,replan_event_obs_count,replan_events_seen,vis_event_obs_count,vis_events_seen,time
experiment_test_het,60,5,2,1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,412,72791,56229,345080,77,77,151,151,263,263,10684.742486000061
het_experiment_num_0,60,5,2,1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,386,72282,56088,350061,65,65,131,131,219,219,10999.52845954895
het_experiment_num_1,60,5,2,1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1568,73516,52645,343410,296,296,409,409,844,844,11107.246096134186
het_experiment_num_2,60,5,2,1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1533,73735,52491,350951,247,247,396,396,811,811,11178.192679166794
het_experiment_num_3,60,5,2,10,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1637,124725,78913,339776,536,536,489,489,839,839,15501.758044242859
het_experiment_num_4,60,5,2,5,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1583,123777,79859,352800,544,544,531,531,844,844,15652.225940465927
het_experiment_num_5,60,5,2,0.1,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1605,24983,21129,342777,28,28,143,143,826,826,6045.747362613678
het_experiment_num_6,60,5,2,0.01,21600,2.777777777777778e-06,10,4,3,heuristic,encouraged,1570,4963,5037,350947,0,0,10,10,837,837,3623.6572761535645
het_experiment_num_7,60,5,2,1,86400,2.777777777777778e-06,10,4,3,heuristic,encouraged,1605,73186,51903,350114,807,807,865,865,1243,1243,11505.093898534775
het_experiment_num_8,60,5,2,1,43200,2.777777777777778e-06,10,4,3,heuristic,encouraged,1558,72723,51485,343210,677,677,787,787,1223,1223,11171.578039646149
het_experiment_num_9,60,5,2,1,10800,2.777777777777778e-06,10,4,3,heuristic,encouraged,1601,73571,53654,343135,9,9,38,38,113,113,11099.244713306427
het_experiment_num_10,60,5,2,1,5400.0,2.777777777777778e-06,10,4,3,heuristic,encouraged,1544,73594,58663,342426,4,4,14,14,76,76,11722.003429889679
het_experiment_num_11,60,5,2,1,21600,2.777777777777778e-06,10,1,3,heuristic,encouraged,1551,69969,51025,320051,237,237,359,359,818,818,9946.962918519974
het_experiment_num_12,60,5,2,1,21600,2.777777777777778e-06,10,2,3,heuristic,encouraged,1530,72045,51798,339177,262,262,363,363,827,827,10657.313735485077
het_experiment_num_13,60,5,2,1,21600,2.777777777777778e-06,10,8,3,heuristic,encouraged,1520,74003,52781,347472,252,252,395,395,773,773,11287.190917015076
het_experiment_num_14,60,5,2,1,21600,2.777777777777778e-06,10,16,3,heuristic,encouraged,1552,73109,52931,339019,268,268,359,359,789,789,11172.950879573822
het_experiment_num_15,60,5,2,1,21600,0.0002777777777777778,10,4,3,heuristic,encouraged,155289,73629,54084,342593,27330,27330,22740,22740,82403,82403,75193.38890123367
het_experiment_num_16,60,5,2,1,21600,2.777777777777778e-05,10,4,3,heuristic,encouraged,15660,73378,47501,349729,2724,2724,2346,2346,8291,8291,56041.80533838272
